"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RTKN2","RTKN2",5.22290254326019,6.150943,21.0219610738913,1.34700536596748e-40,2.82359264814104e-36,81.6098029752007
"COL10A1","COL10A1",-6.4910106447462,7.03527245522058,-20.7236275643544,4.80645616904705e-40,5.03764671077822e-36,80.3680765136443
"GRK5","GRK5",3.40856557277042,4.64188441861428,19.3751965753248,1.73107474537857e-37,1.20955962708752e-33,74.6123063021999
"NCKAP5","NCKAP5",4.45262045768025,6.68652762831858,18.4686162535241,1.02967823207345e-35,5.39602877518091e-32,70.6087974110932
"FRMD3","FRMD3",3.17609460971787,7.44163439823009,18.4022313829461,1.39445945300646e-35,5.84613181078426e-32,70.3113769984159
"SGCG","SGCG",3.98869593310532,5.31437951929928,17.8675636354048,1.63685511756079e-34,5.71862616238488e-31,67.8947010840919
"CA4","CA4",5.03496867653311,7.37831108964141,17.1698180756163,4.30043880439114e-33,1.28779711739496e-29,64.6842029059601
"GPM6A","GPM6A",5.04255992170157,7.11128246944074,16.8170743456903,2.29768716321259e-32,6.02051478940779e-29,63.0368372055668
"KANK3","KANK3",3.65836868331634,7.01305843644357,16.7244527792696,3.57693016752224e-32,8.33106779684458e-29,62.6015933403893
"GPIHBP1","GPIHBP1",5.00278405642633,6.55384257522124,16.519848627335,9.54505206485498e-32,2.0008338138349e-28,61.6361841775633
"PYCR1","PYCR1",-2.11466643869566,7.78920676110516,-16.3939087271234,1.75098700339245e-31,3.33674450591932e-28,61.0392596503277
"EFNA4","EFNA4",-2.31764856377839,6.82670700482914,-16.3713275240958,1.95262990194506e-31,3.41091900038103e-28,60.9320145859619
"PCAT19","PCAT19",3.43269727147336,7.48454083185841,16.0329029305811,1.0076979223864e-30,1.62487414223567e-27,59.316922039373
"RASIP1","RASIP1",3.32924165114163,7.86222276287013,15.9410085645672,1.57728199371074e-30,2.26912398596445e-27,58.8758538390636
"TEK","TEK",3.23560773259311,8.32782701709637,15.935061693267,1.62374104519925e-30,2.26912398596445e-27,58.8472737141499
"GRIA1","GRIA1",3.75736102841443,5.63543426768391,15.7937706680483,3.24043786931497e-30,4.24537866353627e-27,58.1669329880527
"PROM2","PROM2",-4.15153212660039,7.18032568892334,-15.3205939356468,3.33556402081587e-29,4.11294664731425e-26,55.8704102322576
"KL","KL",3.44265458489482,6.29959819995331,15.2575428889296,4.56000866548568e-29,5.31038342477283e-26,55.5623208483313
"CCBE1","CCBE1",3.92394099096134,7.59224310613619,15.1935707129852,6.26545775489068e-29,6.91244870831676e-26,55.2492379094112
"SERTM1","SERTM1",4.24377477492163,4.55223869911504,15.1055775372213,9.70714833082672e-29,9.73864893913581e-26,54.8177885897186
"FAM107A","FAM107A",4.97620550825458,7.4104177520631,15.1045634186418,9.75630320207289e-29,9.73864893913581e-26,54.8128107267727
"CLEC3B","CLEC3B",3.64260668195198,11.1085637210843,15.0635823709142,1.19666889182239e-28,1.14020787774459e-25,54.6115496944337
"EPAS1","EPAS1",1.904692697334,13.4888185462985,14.9212436633253,2.43594987208135e-28,2.22010353124214e-25,53.910958544148
"ANOS1","ANOS1",2.875325144568,10.5699138842749,14.9050964231383,2.64089493998535e-28,2.30660165549887e-25,53.8313301455087
"CDH5","CDH5",2.88482953542717,9.2572661249485,14.7940440698998,4.60661232317932e-28,3.86255230073939e-25,53.2828564056052
"AGER","AGER",6.15993539327232,9.27490926785781,14.6743732441452,8.40315878221614e-28,6.77488516895441e-25,52.6902050072974
"EDNRB","EDNRB",3.46660855042887,9.85737857493791,14.6340260727722,1.02947750270188e-27,7.99255830060621e-25,52.4900180433269
"CD300LG","CD300LG",4.21004635701899,4.77618026826454,14.6064847822764,1.18263463102234e-27,8.85370969124653e-25,52.3532612841865
"IGSF10","IGSF10",3.31302998526646,8.19011588495575,14.5673887308048,1.44018357401791e-27,1.04100441650219e-24,52.1589797747167
"ARHGEF15","ARHGEF15",2.6007254027606,6.1098211472679,14.5506455753579,1.56705821106138e-27,1.09495580734229e-24,52.0757239137108
"VSIR","VSIR",2.03105295803054,5.3178144983982,14.5438672731837,1.62156120580698e-27,1.09648922568148e-24,52.0420094990468
"LDB2","LDB2",2.68834915709573,10.2921957338503,14.4865502320083,2.16559502856758e-27,1.41860009340105e-24,51.7567128022098
"CLEC14A","CLEC14A",2.49295403452849,8.76376174421723,14.2147642123587,8.57971713126589e-27,5.30378364784923e-24,50.3988659850078
"S1PR1","S1PR1",2.60699264065202,8.71600025023102,14.2142388713118,8.60264497790639e-27,5.30378364784923e-24,50.3962334355795
"CAV1","CAV1",3.21085973740894,11.8940064244794,14.0619652023289,1.86689524699627e-26,1.11811023335816e-23,49.6319023461537
