"","(Intercept)","Tissuetissue: paired normal adjacent"
"DDR1",2.77106994827243e-102,1.28274717838186e-09
"RFC2",1.39439565372343e-111,4.57708041011936e-05
"HSPA6",3.08585760295584e-70,0.232074767482318
"PAX8",5.22627621055659e-119,0.949597753855769
"GUCA1A",6.18954201883285e-68,0.165614755586968
"UBA7",1.3061499519552e-106,0.000827272673941207
"THRA",7.69021150551471e-83,0.109834458717918
"PTPN21",4.34481103944978e-35,2.89239133726215e-10
"CCL5",5.47907665744302e-89,0.000276965898682274
"CYP2E1",8.84421194644239e-147,0.432330562164268
"EPHB3",4.3456804908626e-52,1.15684127569123e-07
"ESRRA",1.75420545147766e-135,0.00742077552957365
"CYP2A6",4.9396044503797e-57,0.189973841453145
"SCARB1",2.05912369028547e-103,0.0611433136962766
"TTLL12",1.6768087068576e-115,2.72443579512592e-08
"CYTOR",1.31928306316121e-56,0.976172641475969
"WFDC2",1.64412680687124e-54,0.000729179775616479
"MAPK1",7.409409535662e-81,1.07099020725385e-07
"ADAM32",1.4956408951526e-101,0.385013792353533
"SPATA17",6.33568249530561e-50,0.119513420672658
"PRR22",4.81710819667306e-171,0.0798596780596527
"PXK",4.52686347526819e-53,0.0175814502649576
"VPS18",9.1554905266056e-108,0.740770522863784
"MSANTD3",3.21239205296333e-104,0.805686073108452
"SLC46A1",5.82582939275921e-61,3.17993956465117e-06
"TIMD4",3.03000094240514e-39,0.424147637442677
"SLC39A5",2.23348892203941e-75,0.166979110109538
"ZDHHC11",8.2287692202769e-64,0.512838472811954
"ATP6V1E2",3.66237409755493e-77,2.51408027670932e-05
"AFG3L1P",4.6011634289354e-80,0.109160315268713
"CILP2",4.88420655112721e-40,9.67238039389665e-09
"PIGX",9.07808611612915e-123,1.73384723765436e-05
"TMEM196",1.10181081279651e-207,0.020144489540936
"SLC39A13",2.68306975039268e-89,0.402175702267061
"BEST4",1.8175208541142e-74,0.0367496423013402
"AK9",6.2398675160064e-57,0.0138529519267163
"CORO6",8.59525962504573e-89,0.0351486744619376
"TMEM106A",1.49987258080987e-55,0.0690153369906458
"ALG10",3.09950157101302e-89,0.0103504565390154
"TTC39C",1.5580132940009e-64,0.000134416320208728
"NEXN",3.6505318832821e-63,3.9490720022596e-10
"C15orf40",9.91778197981265e-106,0.646284819373351
"RAX2",7.81825835040494e-129,0.335694139656812
"MFAP3",5.21609657897092e-51,0.290217078493901
"EYA3",5.22323378087134e-81,0.00194503238224639
"GIMAP1",1.24259804106629e-71,2.58528847644458e-11
"KLK8",3.4538271277179e-86,0.117710129160533
"CCDC65",4.30191810900335e-59,0.000238772817104802
"FAM122C",1.51251989713499e-99,0.181818077192994
